Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
19250,260760,143572,25028,47850,67498,21063,26467,46017415,162358,65570,10840,35324947,45145,21800277,37171,42847271,36241,25101363,9076,23755604,11341263
19500,383911,150080,67517,43598,63355,21346,25303,46722571,186142,65162,10916,35605159,38541,22512698,40174,43421728,35895,24731883,8493,24211125,11533152
19750,341112,153833,25186,48541,79843,24967,24574,49279630,158846,66472,10806,35743727,42048,23314846,41456,48596210,36202,24819345,9267,25378038,11514004
20000,366979,158125,24213,47512,83455,20938,27135,49769255,172955,66791,10975,35885059,42298,22754589,45031,44841437,35913,25091545,9664,24680743,11671329
20250,377794,157918,25139,48546,68596,20485,26163,53765279,171222,66375,11221,36262856,43241,23032936,37559,46817349,38218,25519421,10075,25055898,12020375
20500,366490,147748,25214,48510,48226,23899,25893,52261322,127682,67670,10860,36374869,40243,23342160,32996,45095922,36434,26444358,10237,25428024,11980500
20750,378407,143960,25493,47231,45555,22099,26567,59325170,117954,68004,10773,36661353,42329,23703504,31097,45964593,41275,26063460,8409,25601139,12180900
21000,361946,158880,25033,48648,62669,22679,28625,56626640,111199,67523,11098,37703368,42689,24115410,29555,46218228,41595,27539607,8713,25947242,12516242
21250,334128,168793,28555,46598,47376,25390,29169,59057282,113704,66459,11253,37564858,44229,24321190,53962,46443966,40365,26496158,10676,26226249,12582754
21500,290111,153463,29169,46616,45676,24832,27879,59695587,105055,63897,11910,44872415,40762,24621317,56265,47339668,39485,27010437,9014,26562007,12716335
21750,277757,157200,29034,47133,43959,30848,27157,61770373,102166,67446,13780,38201348,41739,25437513,42088,53175614,39948,27163228,9125,26871510,12868935
22000,302854,155328,28866,47175,43814,28866,27040,64443067,103241,65995,11010,38525541,44697,25573732,42343,48608652,40537,27394528,8959,27188461,12985765
22250,236580,154141,28918,50742,41781,24490,29269,67811201,100689,67971,10834,39848420,42853,25833066,44059,49367847,44940,27779057,9245,27575948,16939675
22500,224317,158530,28880,51782,41897,22979,27181,67417484,105008,70665,10887,38741664,44703,26304473,79579,50421100,53682,28050083,9009,28138973,13167396
22750,273072,154787,28805,62072,44297,19442,27453,68223489,108338,69910,11354,39670381,54825,26574272,64189,50855312,53396,28669044,9541,28557732,13247933
23000,288789,161690,29147,46799,44586,39293,27278,69982088,118540,72126,10951,39732604,44788,26804018,52134,50868175,48709,28998742,8869,28755082,13389461
23250,292174,157101,28730,48863,45295,21679,27319,72127948,96600,68028,10722,40008300,47832,27031619,60697,52811825,42662,34189293,10568,29063963,13633995
23500,301026,158343,29018,47685,48187,19334,28088,71394835,99088,72312,11836,40272683,45825,27220075,42992,52414870,39131,29504190,10109,29434628,13681945
23750,313409,157415,30762,76752,42839,19007,26606,73299241,97281,69008,15158,40527050,56783,27650748,34087,52911223,42959,31805974,10248,34568760,13871268
24000,315209,161278,57176,62178,41843,19526,26449,78784388,106849,69691,14127,40991062,61861,28046624,34979,53516382,49682,43681343,10382,29825196,14013805
24250,249829,167772,51540,47203,41499,21321,26946,75857804,112657,72894,12610,41378622,62775,28389249,37147,53712124,50258,36985957,8322,30067938,14224745
24500,276769,172685,36848,43606,40144,20930,26232,74504467,156488,68848,13301,42088759,63148,28712054,38162,54928799,50203,35529260,9395,30369526,14291980
24750,300144,165230,35241,50754,40240,21662,26933,76473499,184151,70691,11598,42260712,64018,29965431,60341,55315722,41733,42240002,9850,31038620,14596510
25000,266979,172171,28892,57459,41640,21063,25438,77076789,158914,72420,12110,42551736,59711,30356244,51958,56269512,39736,31866944,9341,31917222,14687042
25250,207516,167013,40629,57906,40461,20537,26805,78442235,191210,71607,13507,43254604,59168,30732910,42232,56137885,41256,32274791,10064,31204392,14866780
25500,199957,167285,59868,57799,38641,19579,25995,80538422,171342,71730,14680,43031510,59716,31706368,43155,56797758,41162,33272603,8331,31514499,15046542
25750,217517,170677,33841,56221,39193,20104,26285,81629647,3064552,73835,17239,44938217,60660,31261402,40746,57229990,40653,33441128,9626,32033712,15000984
26000,226620,174064,28859,55131,38601,19454,26171,83599717,68771,71573,10796,45242068,50751,31433867,41615,59207545,37237,33574290,8756,32162743,15248353
26250,223651,177011,29636,56516,41445,20365,27700,88666759,65238,74243,12213,45219035,45643,32378547,41438,63918711,38308,34007957,9434,32588556,16540418
26500,297527,187692,28655,50853,39375,20611,25753,87022463,66989,76119,10756,45695025,45556,35600060,42882,60618768,43034,34467395,9927,32846460,15700092
26750,276896,169579,37102,48109,39539,19789,25071,90045877,65301,75102,10836,45990868,55161,34688162,44015,60722203,44096,34628305,8833,33196640,15647779
27000,267956,166786,48373,56624,37752,19721,28045,90716676,62082,75978,10728,47163172,59206,33439584,38803,61810266,39667,34868316,8047,33517954,15816160
27250,268974,169667,33140,58363,38286,20953,27325,96052025,69953,73507,10885,47662373,50464,33785732,35072,62429730,44025,35427013,9163,33925340,16519292
27500,270752,166173,30654,55112,37439,22280,27977,94901764,66046,73660,10810,52101543,41613,34005477,33207,63030557,57163,35594181,8831,34089191,16694783
27750,273412,172916,30180,59005,40186,23191,27192,101081881,68912,74282,10767,48563615,43219,35008781,33323,63740923,50794,35836448,9629,34347040,16830781
28000,278920,171058,30327,57573,39024,27718,26360,100245213,66783,74944,10748,48118436,55899,35534393,33398,65196825,48526,36405427,9535,34808359,17327975
28250,328950,173508,29789,59313,38832,34828,26746,103416532,68148,76018,11247,49006075,59165,36106385,32666,67009846,43463,37018037,10831,35247744,17259132
28500,342444,169028,30049,61328,40753,35472,27927,104278818,69275,72724,10753,49864431,46984,36704913,34406,64748779,48679,37653609,11718,35473161,17831213
28750,300519,178265,43324,57685,39496,22120,27146,105873090,68847,73129,10702,49855624,43114,37306052,33438,65449140,52675,38541719,19630,36044319,26963563
29000,307017,180179,29986,51708,39282,21280,27177,135617948,65989,74216,10824,51866509,43512,37138781,32545,68690731,59133,44628258,21026,36619868,18372063
29250,317540,178333,30144,42096,38761,23138,28149,159906290,70376,79126,10792,51003230,42324,37848548,32982,69072919,39243,37804074,23292,37333050,19480357
29500,13339769,193846,29974,41086,38628,22204,27194,154273916,66800,79000,10766,52340577,42820,38723117,35763,66297313,39481,38067562,20540,38362094,18778427
29750,324731,173905,29596,42791,37525,22525,26484,123488072,71103,89944,10848,53290684,43620,39706028,34519,65798591,37545,38743082,22891,37629657,18877948
30000,911352,181278,29680,44427,38213,21000,26765,124591327,69470,76662,10858,53619553,44256,38994309,34161,71291251,39133,42959894,19979,38195473,19043725
30250,2572496,182516,29516,47030,40586,23031,26917,127906341,68534,79848,10970,54353972,45161,38900443,32901,67340734,41370,39020566,13854,38340353,19225826
30500,326855,181146,29635,45991,39288,21406,27097,121170096,69412,76663,10922,54389565,46349,40042475,33816,70151991,41437,39352157,12468,38775913,19675465
30750,294542,179980,30033,45994,51347,22133,27135,122307503,68578,77862,10967,55455610,42558,40577477,33984,69226564,43921,39731211,12694,39119986,19836575
31000,288631,174266,29344,45903,64506,20398,26191,122967290,67804,75020,10777,56560314,43989,41054258,32228,69042280,39517,40372624,11591,44677361,19957398
31250,293955,174899,29347,47343,52586,37491,26582,128545570,67842,79919,10947,57465128,65124,41355149,32897,69776743,38962,40463340,14191,40241583,20195228
31500,319955,198319,29708,45976,56578,18887,28058,147753391,71068,76357,10822,56986225,74275,41538249,32892,70954903,36081,42709808,10389,40796452,20962682
31750,304965,180369,31111,47329,58507,19577,27999,128382317,71274,79768,11079,58460821,63757,41851740,36409,71565462,39894,40813141,10404,41237831,21006369
32000,316507,181619,29669,44489,58772,18440,25288,127955037,70067,77952,15028,63109244,70605,42308431,32861,72684171,36816,41162941,10892,41525842,21430457
32250,350301,176202,29198,44275,59617,19247,27032,132103639,71561,78585,19490,59182700,66975,42338416,33691,73962372,39173,44939965,10045,42144174,21763681
32500,373356,180784,29129,43983,55790,19641,27533,137300374,71712,79409,14962,59939764,67256,42663996,33040,76806703,38505,42761378,8544,42933890,21996076
32750,345618,186393,29354,45321,65438,20564,26957,133997936,69419,79377,15342,60727778,66181,43925531,36246,74992941,36619,42326611,8492,43446502,22917395
33000,339553,190836,29167,44400,65979,18291,26566,132310200,69698,79170,16242,61919109,69787,49822862,37015,75332504,1544888,43972145,8911,45678683,22946135
33250,315210,193152,29331,51470,71649,19601,28497,144416668,71081,77432,18876,63506858,68050,45476024,31875,75820377,38259,43341076,10071,44247751,23323151
33500,304708,190833,29230,43733,64528,19592,39216,139772965,73670,114588,17120,62656930,68888,45902511,33196,79397615,38829,44096598,10433,44810891,23294286
33750,309588,193385,29337,44765,60206,18983,30627,141854158,72549,88508,16186,65096367,71680,46737960,34637,77499595,36498,44519313,9198,45735670,24586922
34000,302767,195610,29235,58032,47448,19501,26829,141263523,71495,91788,10747,66225702,65337,47193975,33191,78704401,37267,44428581,9573,45708902,24584618
34250,317943,188259,29577,40759,47288,19928,27972,145133836,76225,93916,10706,64870203,69460,47548025,34389,79440490,39472,44765313,9053,46383799,24435484
34500,305109,194972,29399,44804,51080,19592,30507,147930163,72814,156157,10841,67099172,70267,49143467,34987,82374680,37855,45275879,11433,46648734,24705877
34750,298795,195596,29241,49317,47674,18254,27446,153675246,74836,138834,10958,66869115,68047,49877292,35586,80806531,36373,45549341,7903,47229250,25104553
35000,297188,193572,30571,48222,41771,19727,26789,152427787,74183,154098,12602,67900283,62751,50441703,30840,81232725,46466,48740637,8349,47233607,25371124
35250,297249,188243,29504,55978,40247,19579,27234,153584429,74418,156902,11941,68524155,68256,50759853,29948,84582114,43388,46363191,9926,48051859,25430535
35500,314725,187428,35312,50017,41230,20882,25748,159310513,76076,97087,10935,68974835,65085,50575167,33210,98839890,43294,48479350,9625,48739309,29976912
35750,298480,187662,30216,51498,51108,18694,28542,159796674,73880,93581,10731,71029490,62625,51508290,34915,83980023,37488,54389392,7839,49179262,25844255
36000,307257,196387,43679,51492,47639,19192,29621,166989013,75316,87621,10694,73198412,53815,52701613,33409,85050101,39860,47157786,9005,49518811,26600811
36250,370868,198081,29299,48993,45113,19809,27448,162051378,93029,94269,10725,72334589,52462,55250089,30735,89078238,37086,47417060,10384,51916582,26923152
