Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
92250,217110,282729,28608,36858,43345,23697,26314,476229185,109166,140519,10703,227479508,83644,361173117,41053,454700441,49339,180244563,15666,174819006,101153225
92500,215875,312430,28702,34539,42347,25206,25608,473870329,125201,129447,10717,238728323,76321,346612672,39694,433680565,50984,183596440,13764,179868457,102833769
92750,216715,307900,29328,36227,40824,25695,24275,476123127,101132,124608,10692,233397058,91421,359379504,44176,436876631,53374,182569138,14320,175728862,102038280
93000,262858,323598,28876,33216,41070,24215,23900,475303464,114301,125111,10651,229327055,165969,369320114,32379,433830042,55957,186667459,15206,176613268,106540707
93250,241315,315146,29797,35468,42517,25537,25354,478535411,98372,132825,10685,237156284,101261,361114827,37612,448137169,59309,184556490,16187,179076515,102679332
93500,236825,336695,29328,34427,43053,25892,25327,481455338,96235,121268,10671,238537759,71114,366611746,35981,431839965,69138,184106391,13379,176701421,102440528
93750,245115,337660,29065,34954,41973,28765,26138,484211912,96399,129178,10685,238304441,68827,357808744,32920,455743904,51476,184001522,12358,178036457,103740863
94000,240143,352209,29210,35287,37886,26916,25662,487968124,90462,117705,10735,243940442,69255,369897710,39914,442114085,49062,184437307,12693,182995581,104425875
94250,243533,410976,29264,34408,43995,26080,25046,488636562,94587,127038,12001,236446242,73106,375600747,41256,433358346,63169,187714944,12113,182776282,104183714
94500,244676,415510,28855,35089,45891,24906,24828,488055739,90274,122089,10678,250345888,79127,374273561,44036,427503287,40280,190382367,12633,177763848,103825055
94750,240503,367899,28834,34252,43402,25375,24383,493176031,99818,111382,11002,223028297,60354,386042728,38294,444054821,41142,187237638,14309,179449277,104480058
95000,254856,428660,28903,36297,44356,25604,24998,490229689,95411,97039,10775,231026781,88766,383812137,39634,459165245,39627,189315957,21434,183558649,104254654
95250,250887,451755,29342,33144,43384,26312,25437,493166011,93767,89200,10979,242605737,59105,372059216,34864,428477175,38334,187744536,18750,184068555,106050743
95500,247150,435550,29072,44176,46595,25368,26186,491348103,92648,89525,10692,237711521,53135,378122706,31428,432485831,37352,187325221,14021,184243771,109644772
95750,242733,455818,29170,42539,46295,23915,24321,495737232,98179,88970,10763,264032899,56689,366653097,27358,449850841,36134,195099608,15126,183556991,105142286
96000,250495,410625,28907,40887,56705,23906,26477,497844644,96892,90461,10706,251324488,56377,375729304,27382,451114550,39151,189171830,13592,181935128,105566567
96250,245446,345581,28886,34708,56633,23483,25959,500698757,93109,91416,10732,256101143,54594,384383812,28132,444123713,39697,188017749,13883,182569279,105853165
96500,241146,329729,28860,35044,56137,23316,24022,497634983,96377,90438,10760,253532403,54816,373388209,24269,448575129,43358,191100925,16023,185951441,106177802
96750,248360,324846,28818,34378,58347,23131,24260,507666029,94669,93292,10924,256231147,56526,391662352,23986,470435791,50993,191024413,14049,195307533,108041172
97000,240331,330685,28736,34430,56573,25846,26100,500727774,95154,89406,10709,260300135,61072,394693158,27679,474060259,39691,195362222,12061,183836895,107201530
97250,245939,425842,28828,33970,59586,25437,26035,509956227,96063,91683,10707,250286408,57120,378481059,31743,463330856,36098,193252651,12218,186231145,107421254
97500,240697,416489,28384,33792,58611,26097,25693,499957040,97483,90494,10700,267971872,48987,387719976,37021,449180857,35930,192798045,12633,186558911,107294801
97750,240842,406533,28623,33342,65919,27575,25635,516753748,97997,88944,10676,259529409,47379,389011758,38825,472929092,37440,193355882,12661,185983532,111585680
98000,272683,458158,29090,34375,67681,25248,29176,503070132,94584,89416,10752,264058223,53789,409710051,40256,459002786,38858,195348976,19947,189984736,109155955
98250,247826,418301,28538,33278,67286,26713,30535,510695375,94751,92448,10952,260232918,61520,396138157,40598,477070232,38731,194982268,19721,190761669,108112995
98500,245383,372553,29152,35072,138703,27381,34621,508616846,94168,92150,10708,270221409,54407,394685368,39794,462534533,40157,198689406,15919,187565896,108329577
98750,259468,382392,29457,34330,118918,28330,25227,515283715,101482,90407,10790,274481165,61659,388910853,38465,473643198,38598,195499385,17369,187947491,108030148
99000,243051,387351,29079,34893,58079,25503,29668,513562259,101444,89623,10716,269051667,88461,402461293,40864,478027057,42403,195012246,15002,190784140,108488926
99250,247896,382025,28991,32935,63236,26377,22756,519428775,96049,90653,10743,277776508,70785,391016835,41731,484242310,48923,194867978,13132,191549921,108676683
99500,248519,376445,29005,33267,57858,28582,25071,517479100,101248,93480,10864,266623669,68864,401449249,39626,476569725,40927,196989831,14712,189968463,110989234
99750,249423,361092,28596,34712,48869,29249,28727,523113948,99780,101691,10712,287631773,102064,411438849,44686,472627262,45288,201640227,12368,191907951,110552292
100000,253714,313986,28717,33377,48808,26431,23789,518782861,92152,88456,11246,276780224,46088,398155639,33424,478337955,42715,196935862,17912,190167032,115397464
100250,249610,266848,29067,35582,57965,28355,24139,525459384,103825,90895,10717,283260326,45347,412721580,44690,482026020,40861,199205036,18662,190957376,117303924
100500,250528,255028,28987,33933,60719,29343,19558,517063785,98345,89778,10944,274804625,47414,433655844,44662,496794272,38152,199298749,15406,194434317,150963517
100750,250896,263878,28873,32319,57974,28637,18492,529721821,102067,91450,10774,283738926,43840,419076354,44632,483443768,36371,199598837,20451,194507230,131303439
101000,246907,257045,29091,33267,77511,26491,18497,522898789,107247,91589,10706,279534698,43903,448026126,39240,491810312,36884,205860548,17675,192543269,111796841
101250,246141,264634,28896,32390,61390,31383,17871,513141062,102990,91470,10719,294270272,43162,407200010,41903,490330831,37764,201600397,13787,195263032,111886637
101500,244298,263892,29168,35134,50998,30753,18673,515325942,105710,89714,10694,283277299,44134,418703050,49364,500948668,37438,200748865,14817,194956251,117893417
101750,250525,269728,29195,38489,50518,30035,20163,513891489,101039,88893,10711,285984574,46119,408157697,34638,495537543,40718,203131191,21837,196449598,127307796
102000,244729,275243,29106,36638,50577,33494,20503,517166339,111696,92288,10728,285195850,45013,415113663,34324,503291916,36986,202077782,17534,201747683,114423058
102250,255120,285897,29328,33231,48263,33854,23066,514081488,116801,89201,10692,294666236,45607,428161256,41092,498779626,36995,206459479,21299,195155803,114701806
102500,252903,273150,29401,36488,48207,55606,23868,520301918,120929,89496,11305,294456541,45836,431313144,45094,507468047,40066,204693860,19689,195612288,112986074
102750,250581,298592,28774,36030,47841,33868,21911,518267331,115268,91801,10710,296223782,46729,432240582,44556,498443982,37105,203782661,19903,198377875,113961795
103000,251084,282242,28672,35482,57823,32635,23463,525166083,12418177,89699,11070,305806453,55415,431752624,45049,511839714,43746,204336113,19123,197037947,113917170
103250,242087,279684,29241,35661,51267,49051,22852,519994440,75482,90587,10704,301761955,62894,447999619,53955,512984406,37925,206210545,16365,208990902,115909101
103500,250101,287277,29527,35010,63889,45412,23266,527307829,74609,94320,10768,307262236,64588,435599669,51304,528124304,36958,209208517,19888,200266413,115298274
103750,244617,291525,29346,33747,57028,56347,20259,525809682,77315,92443,10692,310550889,64188,428680510,34377,526802849,36402,205019128,21442,198562252,115007162
104000,246933,299179,29503,36947,59960,69530,18401,529790153,79681,106163,10706,305889715,68237,460649831,33150,542709392,38406,208051012,15441,199801915,115838664
104250,250672,311954,29095,36138,51236,69888,18745,524423335,75961,130890,10684,307175047,68084,443898868,43496,535115173,39321,207973317,14276,202283628,117866698
104500,114521,157331,13645,16852,18343,10207,13594,246441571,34491,58315,4993,143602944,30168,243076275,24909,248461764,18929,96089124,7766,117333329,53397457

